Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead Time,Route,Delayed
11,US-2021-167199-CHO-MIL-31000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,762,Chocolate → Kentucky,True
12,US-2021-130813-CHO-MIL-31000,2024-06-01,2026-07-01,Second Class,130813,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,760,Chocolate → California,True
13,US-2021-167199-CHO-SCR-58000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,762,Chocolate → Kentucky,True
14,US-2021-167199-CHO-FUD-51000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,762,Chocolate → Kentucky,True
15,US-2021-105417-CHO-MIL-31000,2024-07-01,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,734,Chocolate → Texas,True
16,US-2021-105417-CHO-TRI-54000,2024-07-01,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,734,Chocolate → Texas,True
17,US-2021-135405-CHO-TRI-54000,2024-09-01,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,673,Chocolate → Texas,True
18,US-2021-135405-CHO-TRI-54000,2024-09-01,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,673,Chocolate → Texas,True
19,US-2021-149020-CHO-MIL-31000,2024-10-01,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,645,Chocolate → Virginia,True
20,US-2021-149020-OTH-GUM-21000,2024-10-01,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,645,Other → Virginia,True
21,US-2021-130092-CHO-MIL-31000,2024-11-01,2026-07-07,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,613,Chocolate → Delaware,True
85,US-2021-140795-CHO-SCR-58000,2024-01-02,2026-07-27,First Class,140795,United States,Green Bay,Wisconsin,54302,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,937,Chocolate → Wisconsin,True
86,US-2021-123400-CHO-MIL-31000,2024-02-02,2026-08-02,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,912,Chocolate → Florida,True
87,US-2021-139857-CHO-FUD-51000,2024-02-02,2026-07-30,Standard Class,139857,United States,San Diego,California,92037,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,909,Chocolate → California,True
88,US-2021-123400-CHO-TRI-54000,2024-02-02,2026-08-02,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,912,Chocolate → Florida,True
89,US-2021-111059-CHO-NUT-13000,2024-03-02,2026-07-30,Second Class,111059,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,880,Chocolate → Washington,True
90,US-2021-111059-CHO-SCR-58000,2024-03-02,2026-07-30,Second Class,111059,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,880,Chocolate → Washington,True
91,US-2021-104808-CHO-FUD-51000,2024-04-02,2026-08-01,Second Class,104808,United States,Escondido,California,92025,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,851,Chocolate → California,True
92,US-2021-107181-CHO-TRI-54000,2024-04-02,2026-08-01,Standard Class,107181,United States,San Diego,California,92024,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,851,Chocolate → California,True
93,US-2021-107181-OTH-KAZ-38000,2024-04-02,2026-08-01,Standard Class,107181,United States,San Diego,California,92024,Other,Pacific,OTH-KAZ-38000,Kazookles,13.0,4,1.0,12.0,851,Other → California,True
94,US-2021-108182-CHO-NUT-13000,2024-06-02,2026-08-03,Second Class,108182,United States,Romeoville,Illinois,60441,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,792,Chocolate → Illinois,True
95,US-2021-131905-CHO-TRI-54000,2024-06-02,2026-08-02,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,791,Chocolate → Virginia,True
96,US-2021-131905-CHO-NUT-13000,2024-06-02,2026-08-02,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,791,Chocolate → Virginia,True
97,US-2021-131905-CHO-MIL-31000,2024-06-02,2026-08-02,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,791,Chocolate → Virginia,True
98,US-2021-169390-CHO-MIL-31000,2024-07-02,2026-08-03,Second Class,169390,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,762,Chocolate → New York,True
99,US-2021-107755-CHO-FUD-51000,2024-07-02,2026-08-05,Standard Class,107755,United States,Linden,New Jersey,7036,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,764,Chocolate → New Jersey,True
100,US-2021-125759-OTH-GUM-21000,2024-08-02,2026-08-02,First Class,125759,United States,North Las Vegas,Nevada,89031,Other,Pacific,OTH-GUM-21000,Wonka Gum,2.5,2,1.3,1.2,730,Other → Nevada,True
101,US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,644,Chocolate → Missouri,True
102,US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,644,Chocolate → Missouri,True
103,US-2021-127614-CHO-MIL-31000,2024-11-02,2026-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,644,Chocolate → Virginia,True
104,US-2021-127614-CHO-MIL-31000,2024-11-02,2026-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,644,Chocolate → Virginia,True
105,US-2021-168368-CHO-NUT-13000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,644,Chocolate → Missouri,True
106,US-2021-168368-CHO-SCR-58000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,644,Chocolate → Missouri,True
107,US-2021-168368-CHO-SCR-58000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,644,Chocolate → Missouri,True
108,US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,644,Chocolate → Missouri,True
109,US-2021-127614-CHO-SCR-58000,2024-11-02,2026-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,644,Chocolate → Virginia,True
110,US-2021-110674-CHO-SCR-58000,2024-12-02,2026-08-11,Standard Class,110674,United States,Concord,California,94521,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,617,Chocolate → California,True
131,US-2021-113880-CHO-NUT-13000,2024-01-03,2026-08-26,Standard Class,113880,United States,Elmhurst,Illinois,60126,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,966,Chocolate → Illinois,True
132,US-2021-131009-CHO-SCR-58000,2024-01-03,2026-08-26,Standard Class,131009,United States,El Paso,Texas,79907,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,966,Chocolate → Texas,True
133,US-2021-104269-CHO-SCR-58000,2024-01-03,2026-08-27,Second Class,104269,United States,Seattle,Washington,98115,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,967,Chocolate → Washington,True
134,US-2021-131009-CHO-TRI-54000,2024-01-03,2026-08-26,Standard Class,131009,United States,El Paso,Texas,79907,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,966,Chocolate → Texas,True
135,US-2021-168312-CHO-SCR-58000,2024-01-03,2026-08-28,Standard Class,168312,United States,Houston,Texas,77036,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,968,Chocolate → Texas,True
136,US-2021-131009-CHO-FUD-51000,2024-01-03,2026-08-26,Standard Class,131009,United States,El Paso,Texas,79907,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,966,Chocolate → Texas,True
137,US-2021-113880-OTH-LIC-15000,2024-01-03,2026-08-26,Standard Class,113880,United States,Elmhurst,Illinois,60126,Other,Interior,OTH-LIC-15000,Lickable Wallpaper,60.0,3,30.0,30.0,966,Other → Illinois,True
138,US-2021-131009-CHO-TRI-54000,2024-01-03,2026-08-26,Standard Class,131009,United States,El Paso,Texas,79907,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,966,Chocolate → Texas,True
139,US-2021-168312-CHO-SCR-58000,2024-01-03,2026-08-28,Standard Class,168312,United States,Houston,Texas,77036,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,968,Chocolate → Texas,True
140,US-2021-143707-CHO-SCR-58000,2024-01-03,2026-08-26,Standard Class,143707,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,966,Chocolate → New York,True
141,US-2021-107524-CHO-MIL-31000,2024-02-03,2026-08-29,Standard Class,107524,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,938,Chocolate → New York,True
142,US-2021-111157-CHO-TRI-54000,2024-02-03,2026-08-27,Standard Class,111157,United States,Philadelphia,Pennsylvania,19120,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,936,Chocolate → Pennsylvania,True
143,US-2021-107524-CHO-NUT-13000,2024-02-03,2026-08-29,Standard Class,107524,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,938,Chocolate → New York,True
144,US-2021-111157-CHO-MIL-31000,2024-02-03,2026-08-27,Standard Class,111157,United States,Philadelphia,Pennsylvania,19120,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,936,Chocolate → Pennsylvania,True
145,US-2021-127978-CHO-TRI-54000,2024-03-03,2026-08-29,Standard Class,127978,United States,Columbus,Ohio,43229,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,909,Chocolate → Ohio,True
146,US-2021-105648-CHO-MIL-31000,2024-03-03,2026-08-28,Standard Class,105648,United States,San Diego,California,92037,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,908,Chocolate → California,True
147,US-2021-130421-CHO-NUT-13000,2024-03-03,2026-08-28,Standard Class,130421,United States,Houston,Texas,77095,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,908,Chocolate → Texas,True
148,US-2021-155852-CHO-FUD-51000,2024-03-03,2026-08-28,Second Class,155852,United States,Wilmington,North Carolina,28403,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,908,Chocolate → North Carolina,True
149,US-2021-127964-CHO-SCR-58000,2024-03-03,2026-08-29,Standard Class,127964,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,909,Chocolate → New York,True
150,US-2021-127964-CHO-SCR-58000,2024-03-03,2026-08-29,Standard Class,127964,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,909,Chocolate → New York,True
151,US-2021-127978-CHO-SCR-58000,2024-03-03,2026-08-29,Standard Class,127978,United States,Columbus,Ohio,43229,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,909,Chocolate → Ohio,True
152,US-2021-127978-CHO-NUT-13000,2024-03-03,2026-08-29,Standard Class,127978,United States,Columbus,Ohio,43229,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8.0,909,Chocolate → Ohio,True
153,US-2021-127964-CHO-MIL-31000,2024-03-03,2026-08-29,Standard Class,127964,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,909,Chocolate → New York,True
154,US-2021-117016-CHO-NUT-13000,2024-04-03,2026-08-30,Standard Class,117016,United States,Margate,Florida,33063,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,879,Chocolate → Florida,True
155,US-2021-116239-CHO-FUD-51000,2024-04-03,2026-08-25,Same Day,116239,United States,Columbia,South Carolina,29203,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,874,Chocolate → South Carolina,True
156,US-2021-169061-CHO-TRI-54000,2024-05-03,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,848,Chocolate → New York,True
157,US-2021-169061-CHO-NUT-13000,2024-05-03,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,848,Chocolate → New York,True
158,US-2021-169061-CHO-TRI-54000,2024-05-03,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,848,Chocolate → New York,True
159,US-2021-169061-CHO-NUT-13000,2024-05-03,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,848,Chocolate → New York,True
160,US-2021-169061-CHO-TRI-54000,2024-05-03,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,848,Chocolate → New York,True
161,US-2021-104563-OTH-KAZ-38000,2024-07-03,2026-09-02,Standard Class,104563,United States,Seattle,Washington,98103,Other,Pacific,OTH-KAZ-38000,Kazookles,19.5,6,1.5,18.0,791,Other → Washington,True
162,US-2021-156587-CHO-NUT-13000,2024-07-03,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,787,Chocolate → Washington,True
163,US-2021-104563-CHO-NUT-13000,2024-07-03,2026-09-02,Standard Class,104563,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,791,Chocolate → Washington,True
164,US-2021-104563-CHO-SCR-58000,2024-07-03,2026-09-02,Standard Class,104563,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,791,Chocolate → Washington,True
165,US-2021-156587-CHO-FUD-51000,2024-07-03,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,787,Chocolate → Washington,True
166,US-2021-131982-CHO-FUD-51000,2024-07-03,2026-09-01,Second Class,131982,United States,Des Moines,Washington,98198,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,790,Chocolate → Washington,True
167,US-2021-104563-CHO-FUD-51000,2024-07-03,2026-09-02,Standard Class,104563,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,791,Chocolate → Washington,True
168,US-2021-156587-CHO-FUD-51000,2024-07-03,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,787,Chocolate → Washington,True
169,US-2021-140116-CHO-FUD-51000,2024-10-03,2026-09-07,Standard Class,140116,United States,Denver,Colorado,80219,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,704,Chocolate → Colorado,True
170,US-2021-100279-CHO-SCR-58000,2024-10-03,2026-09-04,Standard Class,100279,United States,Royal Oak,Michigan,48073,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,701,Chocolate → Michigan,True
171,US-2021-140116-CHO-NUT-13000,2024-10-03,2026-09-07,Standard Class,140116,United States,Denver,Colorado,80219,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,704,Chocolate → Colorado,True
172,US-2021-166884-CHO-MIL-31000,2024-11-03,2026-09-06,Second Class,166884,United States,Columbus,Ohio,43229,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,672,Chocolate → Ohio,True
173,US-2021-114790-CHO-TRI-54000,2024-11-03,2026-09-03,Second Class,114790,United States,Richmond,Kentucky,40475,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,669,Chocolate → Kentucky,True
174,US-2021-103338-CHO-SCR-58000,2024-11-03,2026-09-05,Standard Class,103338,United States,Roseville,California,95661,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,671,Chocolate → California,True
175,US-2021-166884-CHO-NUT-13000,2024-11-03,2026-09-06,Second Class,166884,United States,Columbus,Ohio,43229,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,672,Chocolate → Ohio,True
176,US-2021-114790-CHO-TRI-54000,2024-11-03,2026-09-03,Second Class,114790,United States,Richmond,Kentucky,40475,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,669,Chocolate → Kentucky,True
177,US-2021-158337-CHO-NUT-13000,2024-11-03,2026-09-04,Second Class,158337,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,48.86,14,34.86,14.0,670,Chocolate → New York,True
178,US-2021-114790-CHO-FUD-51000,2024-11-03,2026-09-03,Second Class,114790,United States,Richmond,Kentucky,40475,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,669,Chocolate → Kentucky,True
179,US-2021-114790-CHO-NUT-13000,2024-11-03,2026-09-03,Second Class,114790,United States,Richmond,Kentucky,40475,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,669,Chocolate → Kentucky,True
290,US-2021-157021-CHO-NUT-13000,2024-01-04,2026-09-27,Second Class,157021,United States,Vallejo,California,94591,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,997,Chocolate → California,True
291,US-2021-138359-CHO-MIL-31000,2024-01-04,2026-09-27,Standard Class,138359,United States,Revere,Massachusetts,2151,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,997,Chocolate → Massachusetts,True
292,US-2021-157021-CHO-SCR-58000,2024-01-04,2026-09-27,Second Class,157021,United States,Vallejo,California,94591,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,997,Chocolate → California,True
293,US-2021-138359-CHO-SCR-58000,2024-01-04,2026-09-27,Standard Class,138359,United States,Revere,Massachusetts,2151,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,997,Chocolate → Massachusetts,True
294,US-2021-160276-CHO-FUD-51000,2024-02-04,2026-09-29,Standard Class,160276,United States,Virginia Beach,Virginia,23464,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,968,Chocolate → Virginia,True
295,US-2021-164315-CHO-SCR-58000,2024-02-04,2026-09-29,Standard Class,164315,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,968,Chocolate → Georgia,True
296,US-2021-157847-CHO-MIL-31000,2024-02-04,2026-09-27,Second Class,157847,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98,966,Chocolate → Texas,True
297,US-2021-157847-CHO-MIL-31000,2024-02-04,2026-09-27,Second Class,157847,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,966,Chocolate → Texas,True
298,US-2021-164315-CHO-SCR-58000,2024-02-04,2026-09-29,Standard Class,164315,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,968,Chocolate → Georgia,True
299,US-2021-164315-CHO-MIL-31000,2024-02-04,2026-09-29,Standard Class,164315,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98,968,Chocolate → Georgia,True
300,US-2021-112291-CHO-MIL-31000,2024-03-04,2026-09-29,Standard Class,112291,United States,Los Angeles,California,90008,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,939,Chocolate → California,True
